name,white,black,api,native,multiple,hispanic
ANIL,0.1814,0.0093,0.7954,0.0,0.0047,0.0093
ANILA,0.4667,0.0,0.5,0.0333,0.0,0.0
ANISSA,0.7959,0.1633,0.0204,0.0,0.0,0.0204
ANITA,0.7684,0.0774,0.0829,0.004,0.001,0.0664
ANJA,0.9143,0.0571,0.0,0.0,0.0,0.0286
ANJALI,0.2353,0.0,0.7647,0.0,0.0,0.0
ANJANA,0.2424,0.0,0.7576,0.0,0.0,0.0
ANJANETTE,0.6765,0.2647,0.0,0.0,0.0,0.0588
ANJU,0.1515,0.0,0.8182,0.0303,0.0,0.0
ANKUR,0.1212,0.0303,0.8182,0.0,0.0,0.0303
ANN,0.9486,0.0157,0.0245,0.001,0.0012,0.0091
ANNA,0.8476,0.0221,0.0538,0.0009,0.0012,0.0744
ANNABEL,0.5938,0.0938,0.0938,0.0,0.0,0.2188
ANNABELLE,0.7,0.0143,0.2143,0.0,0.0143,0.0571
ANNALISA,0.9474,0.0263,0.0263,0.0,0.0,0.0
ANNAMARIA,0.8108,0.0,0.027,0.0,0.0,0.1622
ANNAMARIE,0.8676,0.0,0.0147,0.0147,0.0,0.1029
ANNE,0.9604,0.009,0.0215,0.0014,0.0005,0.0073
ANNELIESE,0.9688,0.0,0.0,0.0,0.0,0.0312
ANNEMARIE,0.9756,0.0183,0.0061,0.0,0.0,0.0
ANNETTA,0.75,0.1875,0.0208,0.0208,0.0,0.0208
ANNETTE,0.8237,0.0971,0.0155,0.0018,0.0006,0.0614
ANNIE,0.4495,0.3089,0.2003,0.0015,0.0046,0.0352
ANNMARIE,0.9468,0.0319,0.0053,0.0,0.0,0.016
ANSELMO,0.2222,0.0,0.0667,0.0,0.0,0.7111
ANSON,0.5833,0.0278,0.3889,0.0,0.0,0.0
ANTHONY,0.8416,0.072,0.0315,0.0017,0.0021,0.051
ANTJE,1.0,0.0,0.0,0.0,0.0,0.0
ANTOINE,0.5385,0.4038,0.0288,0.0,0.0,0.0288
ANTOINETTE,0.7624,0.1545,0.0158,0.002,0.0059,0.0594
ANTON,0.8913,0.0598,0.0326,0.0054,0.0,0.0109
ANTONELLA,0.9722,0.0,0.0,0.0278,0.0,0.0
ANTONETTE,0.8182,0.0909,0.0227,0.0,0.0,0.0682
ANTONIA,0.4249,0.055,0.0366,0.0073,0.0037,0.4725
ANTONIETTA,0.9412,0.0,0.0294,0.0,0.0,0.0294
ANTONINA,0.8108,0.0,0.1351,0.0,0.0,0.054
ANTONINO,0.6977,0.0,0.0233,0.0,0.0,0.2791
ANTONIO,0.316,0.0524,0.0662,0.0,0.002,0.5634
ANTONY,0.7708,0.0417,0.1667,0.0104,0.0,0.0104
ANUP,0.1765,0.0,0.8235,0.0,0.0,0.0
ANURADHA,0.1,0.0,0.9,0.0,0.0,0.0
ANWAR,0.4054,0.1081,0.4595,0.0,0.027,0.0
APARNA,0.2273,0.0,0.7727,0.0,0.0,0.0
APRIL,0.8845,0.0674,0.0168,0.003,0.0012,0.0271
ARA,0.9483,0.0172,0.0345,0.0,0.0,0.0
ARACELI,0.089,0.0,0.0576,0.0052,0.0,0.8482
ARACELY,0.0612,0.0,0.0,0.0,0.0,0.9388
ARAM,0.9474,0.0,0.0263,0.0,0.0,0.0263
ARASH,0.7576,0.0,0.1818,0.0,0.0303,0.0303
ARCELIA,0.125,0.0,0.0,0.0,0.0,0.875
ARCHANA,0.16,0.0,0.82,0.02,0.0,0.0
ARCHIE,0.6343,0.291,0.0298,0.0,0.0224,0.0224
ARDEN,0.8462,0.1346,0.0192,0.0,0.0,0.0
ARDIS,0.9677,0.0323,0.0,0.0,0.0,0.0
ARI,0.9167,0.0,0.0556,0.0,0.0,0.0278
ARIANA,0.6,0.0,0.0444,0.0,0.0222,0.3333
ARIANNE,0.875,0.0625,0.0,0.0,0.0,0.0625
ARIC,0.9286,0.0179,0.0179,0.0,0.0,0.0357
ARIE,0.871,0.0645,0.0323,0.0,0.0,0.0323
ARIEL,0.457,0.0215,0.1129,0.0,0.0,0.4086
ARIF,0.3056,0.0,0.6667,0.0,0.0,0.0278
ARKADIUSZ,1.0,0.0,0.0,0.0,0.0,0.0
ARKADY,1.0,0.0,0.0,0.0,0.0,0.0
ARLA,1.0,0.0,0.0,0.0,0.0,0.0
ARLEEN,0.8571,0.0612,0.0612,0.0,0.0,0.0204
ARLEN,0.9783,0.0,0.0,0.0,0.0,0.0217
ARLENE,0.8485,0.0558,0.0467,0.0023,0.0,0.0467
ARLETTE,0.6667,0.1667,0.0667,0.0,0.0,0.1
ARLIE,1.0,0.0,0.0,0.0,0.0,0.0
ARLINE,0.8605,0.0233,0.0698,0.0,0.0,0.0465
ARLYN,0.7941,0.0294,0.1176,0.0,0.0,0.0588
ARMAND,0.8571,0.013,0.0909,0.0,0.0,0.039
ARMANDO,0.0984,0.0025,0.0573,0.0012,0.0,0.8406
ARMEN,0.9425,0.0,0.0345,0.0,0.0,0.023
ARMIDA,0.2143,0.0,0.0238,0.0,0.0,0.7619
ARMIN,0.9355,0.0,0.0645,0.0,0.0,0.0
ARNALDO,0.1892,0.0,0.1351,0.0,0.0,0.6757
ARNE,0.9286,0.0714,0.0,0.0,0.0,0.0
ARNEL,0.1622,0.0,0.8108,0.0,0.0,0.027
