state,county,tract,white,black,api,native,multiple,hispanic
01,031,010900,0.6245862884160756,0.2983451536643026,0.009456264775413711,0.005673758865248227,0.01276595744680851,0.0491725768321513
01,031,011000,0.5765407554671969,0.21811985231468334,0.0062482249360976995,0.007100255609201932,0.01959670548139733,0.17239420619142287
01,031,011100,0.7330696984676224,0.17894216510133465,0.008403361344537815,0.003954522985664854,0.022244191794364807,0.05338606030647553
01,031,011201,0.8344346091509787,0.06620122179279392,0.023189128537588827,0.004488218426630096,0.01895025557910485,0.05273656651290363
01,031,011202,0.5999295857293745,0.19387395845558034,0.03227320737002699,0.0036380706489848613,0.03098227907522591,0.13930289872080742
01,031,011300,0.4382968486889584,0.408708203031032,0.016357950445032476,0.009381765696415686,0.026701948520567717,0.10055328361799375
01,033,020100,0.7308136180034621,0.21292556260819387,0.004327755337564916,0.002308136180034622,0.018753606462781302,0.030871321407963066
01,033,020200,0.782608695652174,0.18414322250639384,0.0010230179028132994,0.0020460358056265987,0.012276214833759591,0.017902813299232736
01,033,020300,0.33562992125984253,0.6195866141732284,0.0004921259842519685,0.001968503937007874,0.015748031496062992,0.0265748031496063
01,033,020400,0.9267973856209151,0.03594771241830065,0.009150326797385621,0.00522875816993464,0.01241830065359477,0.01045751633986928
01,033,020500,0.8678414096916299,0.09327714997126987,0.004405286343612335,0.004213752154759625,0.01647194024133308,0.013790461597395135
01,033,020600,0.6375545851528384,0.32848131974769523,0.0014556040756914116,0.0033964095099466274,0.017709849587578843,0.011402231926249392
01,033,020701,0.8309812930751559,0.12011814899901542,0.006892024942566459,0.0031178208073514933,0.009189366590088613,0.02970134558582212
01,033,020703,0.7646603444939039,0.18714921617960137,0.011805689955486746,0.0025159667118250443,0.011999225856396364,0.021869556802786922
01,033,020704,0.8226851851851852,0.12824074074074074,0.005787037037037037,0.0030092592592592593,0.015509259259259257,0.02476851851851852
01,033,020801,0.7575825156110616,0.19201605709188224,0.0044603033006244425,0.007136485280999108,0.01984834968777877,0.01895628902765388
01,033,020802,0.7819389110225764,0.15723771580345286,0.002390438247011952,0.01407702523240372,0.01354581673306773,0.030810092961487383
01,033,020901,0.9385113268608415,0.029357374017568195,0.0018492834026814613,0.00785945446139621,0.00970873786407767,0.012713823393435044
01,033,020902,0.9176322418136019,0.05012594458438286,0.0015113350125944582,0.005037783375314861,0.013350125944584382,0.01234256926952141
