zcta5,white,black,api,native,multiple,hispanic
00962,0.0055,0.0017,0.0008,0.0,0.0003,0.9917
00965,0.0038,0.0037,0.0001,0.0,0.0004,0.9919
00966,0.0173,0.0014,0.0017,0.0002,0.0007,0.9787
00968,0.0187,0.0009,0.0058,0.0,0.0006,0.9741
00969,0.0166,0.0013,0.002,0.0001,0.0005,0.9794
00971,0.0056,0.0005,0.0003,0.0,0.0004,0.9931
00976,0.0072,0.0019,0.0007,0.0,0.0004,0.9898
00979,0.0373,0.0035,0.006,0.0002,0.0009,0.9521
00982,0.0062,0.0018,0.0017,0.0002,0.0006,0.9895
00983,0.0081,0.0026,0.0011,0.0001,0.0011,0.987
00985,0.0053,0.0018,0.0011,0.0003,0.0008,0.9906
00987,0.0057,0.0018,0.0016,0.0001,0.0004,0.9905
01001,0.9177,0.0166,0.021,0.001,0.0102,0.0334
01002,0.7406,0.0448,0.1022,0.0013,0.0323,0.0789
01003,0.7495,0.0531,0.1151,0.0011,0.03,0.0512
01005,0.9527,0.0095,0.0051,0.002,0.0132,0.0175
01007,0.9237,0.013,0.0212,0.0012,0.0146,0.0263
01008,0.9731,0.0032,0.0032,0.0008,0.0063,0.0135
01009,0.9607,0.0054,0.0041,0.0014,0.0081,0.0204
01010,0.9487,0.0075,0.0047,0.0028,0.0144,0.0219
01011,0.9766,0.0,0.008,0.0,0.0058,0.0095
01012,0.9652,0.0015,0.0076,0.0015,0.0091,0.0151
01013,0.7275,0.0258,0.0105,0.0015,0.0137,0.221
01020,0.8542,0.0212,0.0158,0.0016,0.0121,0.0951
01022,0.7373,0.1225,0.0143,0.002,0.0147,0.1091
01026,0.9703,0.0032,0.0021,0.0,0.0095,0.0148
01027,0.9201,0.0092,0.022,0.0018,0.0117,0.0351
01028,0.9305,0.0135,0.0239,0.0006,0.0088,0.0227
01029,0.9708,0.0025,0.0063,0.0013,0.0114,0.0076
01030,0.9359,0.009000000000000001,0.0123,0.001,0.0092,0.0326
01031,0.9549,0.0084,0.0023,0.0054,0.0076,0.0214
01032,0.9702,0.0035,0.0035,0.0035,0.014,0.0053
01033,0.9526,0.0037,0.0111,0.0021,0.0096,0.0209
01034,0.9584,0.0049,0.003,0.0049,0.0114,0.0173
01035,0.8951,0.0183,0.0402,0.0015,0.0137,0.0311
01036,0.9561,0.0049,0.0139,0.0006,0.0098,0.0147
01037,0.9582,0.0095,0.0024,0.0012,0.0119,0.0167
01038,0.9689,0.0039,0.0055,0.0012,0.0043,0.0161
01039,0.9611,0.0037,0.0105,0.0,0.0075,0.0172
01040,0.4684,0.0241,0.0103,0.0011,0.0111,0.485
01050,0.9597,0.002,0.0024,0.002,0.0138,0.0202
01053,0.9096,0.0273,0.0131,0.0018,0.0155,0.0327
01054,0.9155,0.0119,0.0157,0.0016,0.0341,0.0211
01056,0.9005,0.023,0.0085,0.0007,0.0112,0.0562
01057,0.956,0.0073,0.0061,0.0021,0.0108,0.0177
01060,0.8258,0.0286,0.0506,0.0017,0.0223,0.0709
01062,0.8664,0.0176,0.0261,0.0026,0.0186,0.0686
01063,0.6628,0.0539,0.1663,0.0023,0.0468,0.0679
01066,1.0,0.0,0.0,0.0,0.0,0.0
01068,0.9584,0.0037,0.0047,0.0,0.009000000000000001,0.0242
01069,0.9433,0.0109,0.0092,0.0014,0.0119,0.0233
01070,0.9507,0.0223,0.0064,0.0016,0.0048,0.0143
01071,0.9618,0.0075,0.0031,0.0013,0.005,0.0213
01072,0.9024,0.0203,0.0108,0.0047,0.0339,0.0278
01073,0.9661,0.0035,0.0055,0.0009,0.0093,0.0147
01074,0.9404,0.0,0.0063,0.0063,0.0031,0.0439
01075,0.8758,0.021,0.0406,0.0011,0.0184,0.043
01077,0.9502,0.0083,0.0084,0.0024,0.0098,0.0208
01079,0.9408,0.0043,0.0014,0.0058,0.0231,0.0246
01080,0.9387,0.0103,0.0107,0.0013,0.0116,0.0274
01081,0.9558,0.01,0.0018,0.0024,0.013,0.0171
01082,0.9243,0.0099,0.0069,0.0024,0.0187,0.0378
01083,0.9532,0.0073,0.0028,0.0003,0.0107,0.0256
01084,0.9545,0.0,0.0057,0.0,0.0057,0.0341
01085,0.8852,0.0128,0.0129,0.0015,0.0128,0.0748
01086,0.9054,0.0218,0.0087,0.0015,0.0175,0.0451
01088,0.9582,0.0179,0.003,0.0,0.0119,0.009000000000000001
01089,0.8219,0.0297,0.0444,0.0012,0.0157,0.0871
01092,0.9484,0.0029,0.0072,0.0043,0.0136,0.0237
01093,0.9785,0.0092,0.0,0.0,0.0062,0.0062
01094,0.9658,0.0028,0.0,0.0,0.0085,0.0228
01095,0.9232,0.0195,0.02,0.0003,0.0095,0.0275
01096,0.967,0.0018,0.0032,0.0005,0.0095,0.0181
01097,0.9459,0.0,0.0,0.0,0.0,0.0541
01098,0.9628,0.0009,0.0091,0.0,0.0163,0.0109
01103,0.2585,0.1474,0.0246,0.0057,0.0198,0.544
